trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
188,False,"{'a': 0.01, 'e': 0.15259010575688386}",20,8,12.396633168355386,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
189,False,"{'a': 0.01, 'e': 0.15107180883637084}",20,5,-17.34175654660931,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
190,False,"{'a': 0.01, 'e': 0.14956861922263504}",20,4,-23.730423531973422,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
191,False,"{'a': 0.01, 'e': 0.14808038659546244}",30,12,26.36691222664028,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.01, 'e': 0.14660696213035015}",20,13,2.122959203449886,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
193,False,"{'a': 0.01, 'e': 0.14514819848362373}",20,9,18.53535102917696,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.01, 'e': 0.14370394977770293}",25,13,22.776108556335696,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.01, 'e': 0.1422740715865136}",20,11,17.75181211183252,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.01, 'e': 0.140858420921045}",20,10,13.052853810950399,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.01, 'e': 0.13945685621505094}",20,8,0.23204292616123245,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
198,False,"{'a': 0.01, 'e': 0.13806923731089282}",20,9,19.108887494146174,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.01, 'e': 0.13669542544552385}",25,4,28.96016153142351,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.01, 'e': 0.1353352832366127}",25,15,19.80559714417213,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.01, 'e': 0.13398867466880493}",20,13,13.761070004054694,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.01, 'e': 0.13265546508012172}",25,8,32.69012712543349,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.01, 'e': 0.13133552114849303}",20,6,25.32800997724285,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.01, 'e': 0.1300287108784259}",20,5,-12.6682599540166,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
205,False,"{'a': 0.01, 'e': 0.12873490358780423}",20,8,8.206069807752076,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
206,False,"{'a': 0.01, 'e': 0.12745396989482075}",20,11,16.706050181382842,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
